english,korean,category,difficulty,example1,example2
fall,가을,seasons,1,Fall is cool.,Leaves fall in fall.
winter,겨울,seasons,1,Winter is cold.,It snows in winter.
Monday,월요일,days,1,Today is Monday.,I go to school on Monday.
Tuesday,화요일,days,1,Today is Tuesday.,Tuesday is the second day.
Wednesday,수요일,days,1,Today is Wednesday.,Wednesday is in the middle.
Thursday,목요일,days,1,Today is Thursday.,Thursday comes after Wednesday.
Friday,금요일,days,1,Today is Friday.,Friday is the last school day.
Saturday,토요일,days,1,Today is Saturday.,I rest on Saturday.
Sunday,일요일,days,1,Today is Sunday.,Sunday is a holiday.
January,1월,months,2,January is cold.,New Year is in January.
February,2월,months,2,February is short.,Valentine's Day is in February.
March,3월,months,2,March is windy.,Spring starts in March.
April,4월,months,2,April has rain.,April showers bring flowers.
May,5월,months,2,May is beautiful.,Mother's Day is in May.
June,6월,months,2,June is warm.,Summer starts in June.
July,7월,months,2,July is hot.,Independence Day is in July.
August,8월,months,2,August is hot.,August is summer.
September,9월,months,2,September is cool.,School starts in September.
October,10월,months,2,October is fall.,Halloween is in October.
November,11월,months,2,November is cold.,Thanksgiving is in November.
December,12월,months,2,December is winter.,Christmas is in December.
morning,아침,time,1,Good morning!,I wake up in the morning.
afternoon,오후,time,1,Good afternoon!,I eat lunch in the afternoon.
evening,저녁,time,1,Good evening!,I go home in the evening.
night,밤,time,1,Good night!,I sleep at night.
today,오늘,time,1,Today is Monday.,What day is today?
yesterday,어제,time,2,Yesterday was Sunday.,I saw him yesterday.
tomorrow,내일,time,2,Tomorrow is Tuesday.,See you tomorrow!
week,주,time,2,One week has seven days.,I'll see you next week.
month,달,time,2,One month has 30 days.,I'll visit next month.
year,년,time,2,One year has 12 months.,Happy New Year!
hour,시간,time,2,One hour has 60 minutes.,Wait one hour.
minute,분,time,2,One minute has 60 seconds.,Wait a minute!
second,초,time,2,One second is very short.,Just a second!
breakfast,아침식사,food,1,I eat breakfast.,Breakfast is important.
lunch,점심,food,1,I eat lunch.,What's for lunch?
dinner,저녁식사,food,1,I eat dinner.,Dinner is ready.
bread,빵,food,1,I eat bread.,This bread is fresh.
rice,쌀,food,1,I eat rice.,Rice is white.
meat,고기,food,1,I eat meat.,This meat is delicious.
chicken,닭고기,food,1,I like chicken.,Chicken is healthy.
egg,계란,food,1,I eat eggs.,Eggs are nutritious.
milk,우유,food,1,I drink milk.,Milk is white.
cheese,치즈,food,1,I like cheese.,Cheese is yellow.
butter,버터,food,1,Put butter on bread.,Butter is soft.
sugar,설탕,food,1,Sugar is sweet.,Don't eat too much sugar.
salt,소금,food,1,Salt is salty.,Add some salt.
pizza,피자,food,2,I love pizza.,Pizza is delicious.
hamburger,햄버거,food,2,I eat a hamburger.,Hamburgers are popular.
sandwich,샌드위치,food,2,I make a sandwich.,This sandwich is good.
salad,샐러드,food,2,I eat salad.,Salad is healthy.
soup,수프,food,2,I drink soup.,The soup is hot.
cake,케이크,food,2,I eat cake.,The cake is sweet.
cookie,쿠키,food,2,I like cookies.,Cookies are sweet.
chocolate,초콜릿,food,2,I love chocolate.,Chocolate is delicious.
ice cream,아이스크림,food,2,I eat ice cream.,Ice cream is cold.
juice,주스,food,2,I drink juice.,Orange juice is good.
coffee,커피,food,2,I drink coffee.,Coffee is hot.
tea,차,food,2,I drink tea.,Tea is healthy.
father,아버지,family,1,This is my father.,My father is kind.
mother,어머니,family,1,This is my mother.,My mother is beautiful.
brother,형제,family,1,I have a brother.,My brother is tall.
sister,자매,family,1,I have a sister.,My sister is pretty.
grandfather,할아버지,family,1,This is my grandfather.,My grandfather is old.
grandmother,할머니,family,1,This is my grandmother.,My grandmother is kind.
son,아들,family,2,I have a son.,My son is smart.
daughter,딸,family,2,I have a daughter.,My daughter is beautiful.
uncle,삼촌,family,2,This is my uncle.,My uncle is funny.
aunt,이모,family,2,This is my aunt.,My aunt is kind.
cousin,사촌,family,2,This is my cousin.,My cousin is my age.
baby,아기,family,1,The baby is cute.,I have a baby sister.
child,어린이,family,1,The child is playing.,I am a child.
boy,소년,people,1,The boy is running.,He is a good boy.
girl,소녀,people,1,The girl is singing.,She is a nice girl.
man,남자,people,1,The man is tall.,He is a kind man.
woman,여자,people,1,The woman is beautiful.,She is a smart woman.
teacher,선생님,people,1,My teacher is kind.,The teacher teaches us.
student,학생,people,1,I am a student.,Students study hard.
doctor,의사,people,2,The doctor helps people.,I want to be a doctor.
nurse,간호사,people,2,The nurse is kind.,Nurses help patients.
police,경찰,people,2,The police helps us.,Police officers are brave.
firefighter,소방관,people,2,Firefighters are brave.,The firefighter saves people.
farmer,농부,people,2,Farmers grow food.,The farmer works hard.
cook,요리사,people,2,The cook makes food.,Cooks work in restaurants.
driver,운전사,people,2,The driver is careful.,Bus drivers drive buses.
singer,가수,people,2,The singer is famous.,Singers sing songs.
dancer,댄서,people,2,The dancer is graceful.,Dancers perform on stage.
artist,예술가,people,3,The artist paints.,Artists are creative.
scientist,과학자,people,3,Scientists do research.,The scientist is smart.
engineer,엔지니어,people,3,Engineers build things.,The engineer is skilled.
shirt,셔츠,clothes,1,I wear a shirt.,This shirt is blue.
pants,바지,clothes,1,I wear pants.,These pants are new.
dress,드레스,clothes,1,She wears a dress.,The dress is pretty.
skirt,치마,clothes,1,She wears a skirt.,The skirt is short.
shoes,신발,clothes,1,I wear shoes.,My shoes are comfortable.
socks,양말,clothes,1,I wear socks.,These socks are warm.
hat,모자,clothes,1,I wear a hat.,The hat is big.
coat,코트,clothes,1,I wear a coat.,The coat is warm.
jacket,재킷,clothes,2,I wear a jacket.,This jacket is cool.
sweater,스웨터,clothes,2,I wear a sweater.,The sweater is soft.
gloves,장갑,clothes,2,I wear gloves.,Gloves keep hands warm.
scarf,스카프,clothes,2,I wear a scarf.,The scarf is colorful.
belt,벨트,clothes,2,I wear a belt.,The belt is leather.
tie,넥타이,clothes,2,He wears a tie.,The tie is formal.
glasses,안경,accessories,2,I wear glasses.,Glasses help me see.
watch,시계,accessories,2,I wear a watch.,The watch tells time.
ring,반지,accessories,2,She wears a ring.,The ring is gold.
necklace,목걸이,accessories,2,She wears a necklace.,The necklace is beautiful.
bracelet,팔찌,accessories,3,She wears a bracelet.,The bracelet is silver.
earring,귀걸이,accessories,3,She wears earrings.,The earrings are pretty.
soccer,축구,sports,1,I play soccer.,Soccer is fun.
baseball,야구,sports,1,I play baseball.,Baseball is popular.
basketball,농구,sports,1,I play basketball.,Basketball is exciting.
tennis,테니스,sports,2,I play tennis.,Tennis is fun.
golf,골프,sports,2,I play golf.,Golf is relaxing.
swimming,수영,sports,2,I like swimming.,Swimming is healthy.
running,달리기,sports,2,I like running.,Running is good exercise.
cycling,자전거타기,sports,2,I like cycling.,Cycling is fun.
skiing,스키,sports,3,I like skiing.,Skiing is exciting.
skating,스케이팅,sports,3,I like skating.,Skating is fun.
guitar,기타,instruments,2,I play guitar.,The guitar sounds nice.
piano,피아노,instruments,2,I play piano.,The piano is beautiful.
drum,드럼,instruments,2,I play drums.,Drums are loud.
violin,바이올린,instruments,3,I play violin.,The violin is elegant.
flute,플루트,instruments,3,I play flute.,The flute sounds sweet.
trumpet,트럼펫,instruments,3,I play trumpet.,The trumpet is loud.
love,사랑,emotions,2,I love you.,Love is important.
hate,미움,emotions,2,I hate lies.,Don't hate people.
like,좋아함,emotions,1,I like apples.,What do you like?
dislike,싫어함,emotions,2,I dislike rain.,What do you dislike?
enjoy,즐기다,emotions,2,I enjoy music.,Enjoy your meal!
fear,두려움,emotions,3,I have no fear.,Fear is natural.
joy,기쁨,emotions,3,I feel joy.,Joy fills my heart.
surprise,놀람,emotions,2,What a surprise!,I love surprises.
worry,걱정,emotions,2,Don't worry.,I worry about you.
hope,희망,emotions,3,I have hope.,Hope keeps us going.
dream,꿈,emotions,2,I have a dream.,Dreams come true.
wish,소원,emotions,2,I make a wish.,What's your wish?
smile,미소,emotions,1,I smile.,Your smile is beautiful.
laugh,웃음,emotions,1,I laugh.,Laughter is good.
cry,울음,emotions,1,Don't cry.,Babies cry.
shout,외침,emotions,2,Don't shout.,I heard you shout.
whisper,속삭임,emotions,2,I whisper.,Whisper quietly.
science,과학,subjects,2,I study science.,Science is interesting.
math,수학,subjects,2,I study math.,Math is difficult.
English,영어,subjects,1,I study English.,English is important.
history,역사,subjects,2,I study history.,History is interesting.
geography,지리,subjects,3,I study geography.,Geography teaches about places.
art,미술,subjects,1,I study art.,Art is creative.
music,음악,subjects,1,I study music.,Music is fun.
physical education,체육,subjects,2,I like PE.,PE is active.
literature,문학,subjects,3,I study literature.,Literature is beautiful.
chemistry,화학,subjects,3,I study chemistry.,Chemistry is complex.
physics,물리,subjects,3,I study physics.,Physics is challenging.
biology,생물,subjects,3,I study biology.,Biology studies life.
add,더하다,math,2,Add two and three.,I add numbers.
subtract,빼다,math,2,Subtract two from five.,I subtract numbers.
multiply,곱하다,math,3,Multiply two by three.,I multiply numbers.
divide,나누다,math,3,Divide six by two.,I divide numbers.
equal,같다,math,2,Two plus two equals four.,These are equal.
plus,더하기,math,1,Two plus two.,Plus means add.
minus,빼기,math,1,Five minus two.,Minus means subtract.
circle,원,shapes,1,Draw a circle.,The circle is round.
square,정사각형,shapes,1,Draw a square.,The square has four sides.
triangle,삼각형,shapes,1,Draw a triangle.,The triangle has three sides.
rectangle,직사각형,shapes,2,Draw a rectangle.,The rectangle is long.
star,별,shapes,1,Draw a star.,The star has five points.
heart,하트,shapes,1,Draw a heart.,The heart shape is lovely.
diamond,다이아몬드,shapes,2,Draw a diamond.,The diamond shape is pretty.
oval,타원,shapes,2,Draw an oval.,The oval is egg-shaped.
cube,정육면체,shapes,3,This is a cube.,A cube has six faces.
sphere,구,shapes,3,This is a sphere.,A sphere is round.
cylinder,원기둥,shapes,3,This is a cylinder.,A cylinder is tube-shaped.
pyramid,피라미드,shapes,3,This is a pyramid.,Pyramids are in Egypt.
north,북,directions,2,Go north.,North is up on the map.
south,남,directions,2,Go south.,South is down on the map.
east,동,directions,2,Go east.,The sun rises in the east.
west,서,directions,2,Go west.,The sun sets in the west.
left,왼쪽,directions,1,Turn left.,My left hand.
right,오른쪽,directions,1,Turn right.,My right hand.
up,위,directions,1,Look up.,Go up the stairs.
down,아래,directions,1,Look down.,Go down the stairs.
front,앞,directions,1,In front of me.,The front door.
back,뒤,directions,1,Behind me.,The back door.
inside,안,directions,1,Come inside.,Inside the house.
outside,밖,directions,1,Go outside.,Outside the house.
near,가까운,directions,2,Come near.,The store is near.
far,먼,directions,2,Too far away.,The city is far.
here,여기,directions,1,Come here.,I am here.
there,저기,directions,1,Go there.,Look over there.
everywhere,어디든지,directions,3,I looked everywhere.,People are everywhere.
nowhere,아무데도,directions,3,I went nowhere.,There's nowhere to go.
always,항상,frequency,2,I always study.,Always be kind.
never,절대,frequency,2,I never lie.,Never give up.
sometimes,때때로,frequency,2,I sometimes play.,Sometimes it rains.
often,자주,frequency,2,I often read.,I often visit.
rarely,드물게,frequency,3,I rarely watch TV.,Rarely happens.
usually,보통,frequency,2,I usually wake up early.,Usually it's sunny.
seldom,좀처럼,frequency,3,I seldom eat candy.,Seldom seen.
frequently,자주,frequency,3,I frequently exercise.,Frequently asked questions.
occasionally,가끔,frequency,3,I occasionally swim.,Occasionally it snows.
constantly,끊임없이,frequency,3,He constantly talks.,Constantly changing.
very,매우,adverbs,1,Very good!,I'm very happy.
too,너무,adverbs,1,Too hot!,Too much sugar.
so,그래서,adverbs,1,So beautiful!,I'm so tired.
really,정말,adverbs,1,Really good!,I really like it.
quite,꽤,adverbs,2,Quite nice.,I'm quite sure.
almost,거의,adverbs,2,Almost done.,Almost there.
just,단지,adverbs,2,Just a minute.,I just arrived.
only,오직,adverbs,2,Only one.,I only have this.
even,심지어,adverbs,2,Even better!,Even I can do it.
still,여전히,adverbs,2,Still waiting.,I still remember.
already,이미,adverbs,2,Already finished.,I already know.
yet,아직,adverbs,2,Not yet.,Have you eaten yet?
soon,곧,adverbs,2,Coming soon.,See you soon!
now,지금,adverbs,1,Do it now.,I'm busy now.
then,그때,adverbs,2,See you then.,Then I left.
later,나중에,adverbs,2,See you later.,I'll do it later.
early,일찍,adverbs,2,Come early.,I wake up early.
late,늦게,adverbs,2,Don't be late.,I came late.
quickly,빠르게,adverbs,2,Run quickly.,Do it quickly.
slowly,천천히,adverbs,2,Walk slowly.,Speak slowly.
carefully,조심스럽게,adverbs,3,Drive carefully.,Listen carefully.
loudly,크게,adverbs,2,Speak loudly.,Don't talk loudly.
quietly,조용히,adverbs,2,Speak quietly.,Walk quietly.
well,잘,adverbs,1,Done well!,I speak well.
badly,나쁘게,adverbs,2,Done badly.,I played badly.
together,함께,adverbs,2,Let's go together.,We work together.
alone,혼자,adverbs,2,I live alone.,Don't go alone.
yes,네,responses,1,Yes please.,Yes I can.
no,아니요,responses,1,No thank you.,No I can't.
please,제발,responses,1,Please help me.,Yes please.
thank you,감사합니다,responses,1,Thank you very much.,Thank you for helping.
sorry,미안합니다,responses,1,I'm sorry.,Sorry for being late.
excuse me,실례합니다,responses,1,Excuse me please.,Excuse me for interrupting.
hello,안녕하세요,greetings,1,Hello everyone!,Hello my friend.
goodbye,안녕히 가세요,greetings,1,Goodbye everyone!,Goodbye my friend.
welcome,환영합니다,greetings,1,Welcome home!,You're welcome.
congratulations,축하합니다,greetings,2,Congratulations on your success!,Congratulations!
good luck,행운을 빕니다,greetings,2,Good luck on your test!,Good luck!
nice,좋은,general,1,Nice to meet you.,That's nice.
great,훌륭한,general,1,Great job!,That's great!
amazing,놀라운,general,2,Amazing work!,That's amazing!
awesome,멋진,general,2,Awesome game!,That's awesome!
fantastic,환상적인,general,2,Fantastic news!,That's fantastic!
incredible,믿을 수 없는,general,3,Incredible story!,That's incredible!
magnificent,장엄한,general,3,Magnificent view!,That's magnificent!
marvelous,경이로운,general,3,Marvelous performance!,That's marvelous!
splendid,훌륭한,general,3,Splendid idea!,That's splendid!
superb,최고의,general,3,Superb quality!,That's superb!
